GECCO/CORECT/CCFR; ACCC; FinnGen	ILCCO; BJ; UKB; FinnGen	KidRISK; UKB; FinnGen	PanC4; PanScan I+II; PanScan III; BJ; FinnGen	BJ; N-UGC	INHANCE; UKB; FinnGen	EAS; UKB	MCCS; SCCS; BJ	NBCS; UKB; FinnGen	BJ; CHC; UKB	N-UGC; BJ	BCAC; UKB; FinnGen	PRACTICAL; UKB; BJ; FinnGen	GICC/MDA; GliomaScan; UCSF_Mayo; UCSF_AGS + SFAGS	MENC	UKB; UMS; FinnGen	ECAC; BJ; FinnGen	OCAC; OCAC (EAS); UKB; BJ; FinnGen	23NMSC; UKB; HNMSC	MMAC; UKB	23NMSC; HNMSC; UKB	InterLymph	BC-ALL; C-ALL; SJ-COG	InterLymph	HLS	InterLymph; FinnGen	EPITHYR; TCS; UKB; FinnGen	MMS; UKB; FinnGen	NBS	InterLymph	FinnGen	UKB	ESS	FinnGen	FinnGen	UMS	BC-NHL	KCML	UKB	FinnGen
InterLymph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.328275569032688	0	0.0277192008576673	0	0	0	0.232403871369615	0	0	0	0	0	0	0	0	0	0
BC-ALL; C-ALL; SJ-COG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InterLymph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.328275569032688	0	0	0	0.0257065522492711	0	0	0	0.215529383151151	0	0	0	0	0	0	0	0	0	0
HLS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InterLymph; FinnGen	0.0573948842167929	0.0127150302460515	0.00942048988741773	0.0158839445230612	0	0.00893809928050841	0	0	0.00657606474196213	0	0	0.0201104956752873	0.0181698959970503	0	0	0.00347891801183029	0.0114700675207861	0.0108822153906538	0	0	0	0.0277192008576673	0	0.0257065522492711	0	0	0.00531152291651174	0.0051887847312971	0	0.0181990462461158	0.0119842548344391	0	0	0.00960015069476192	0.00937345332094465	0	0	0	0	0.00643781181370279
EPITHYR; TCS; UKB; FinnGen	0.0144415048108555	0.0127243605279814	0.00942740263751481	0.00327015507702673	0	0.00894465805265375	0.00704951834237547	0	0.00658089025451261	0.0041480799766391	0	0.0201252527455238	0.0181832290563518	0	0	0.00348147083987973	0.00236143481126368	0.0108902007540901	0.00767879687628503	0.0122105653194295	0.00553465835418126	0	0	0	0	0.00531152291651174	0	0.00519259225856836	0	0	0.00246729467824093	0.00228836012695679	0	0.00197646003416328	0.00192978802729113	0	0	0	0.00146846143007424	0.00132540396102223
MMS; UKB; FinnGen	0.0141077918399968	0.0124303271699841	0.0092095550805704	0.0031945886329327	0	0.00873796571337467	0.00688661871799641	0	0.00642881964507879	0.00405222652435046	0	0.0196602002478131	0.0177630526642325	0	0	0.00340102133048645	0.00230686699186556	0.0106385509922063	0.00750135594116316	0.0119284046940668	0.00540676397570394	0	0	0	0	0.0051887847312971	0.00519259225856836	0	0	0	0.00241028065872957	0.00223548091067268	0	0.00193078817666487	0.00188519466225408	0	0	0	0.00143452835780514	0.00129477664764918
NBS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InterLymph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.232403871369615	0	0.215529383151151	0	0.0181990462461158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FinnGen	0.0266609209095435	0.00590635246291249	0.00437598122628695	0.00737836820196962	0	0.00415190240822126	0	0	0.00305469632657945	0	0	0.0186833492903424	0	0	0	0.00161601785995164	0.0106560912935627	0.0101099562377356	0	0	0	0	0	0	0	0.0119842548344391	0.00246729467824093	0.00241028065872957	0	0	0	0	0	0.00445943679276314	0.00435413192393696	0	0	0	0	0.0029904754393674
UKB	0.00142289445415199	0.00547800860232803	0.00405862382100461	0	0	0.0038507957747322	0.00382099458154607	0	0.0028331618980711	0.00224835092906743	0	0.0086641923907743	0.0078281250338478	0	0	0.00149882009140469	0	0.00468837811383897	0.00416207744020014	0.00661839598922623	0.00299990702271286	0	0	0	0	0	0.00228836012695679	0.00223548091067268	0	0	0	0	0	0	0	0	0	0	0.000795938515940134	0
ESS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FinnGen	0.0213570941146234	0.00473136415101872	0.00350543941114132	0.00591054242411418	0	0.00332593801946923	0	0	0.00244700613154734	0	0	0.00748327581264065	0.00676116319698722	0	0	0.00129453313495803	0.00426810359294774	0.00404935912747772	0	0	0	0	0	0	0	0.00960015069476192	0.00197646003416328	0.00193078817666487	0	0	0.00445943679276314	0	0	0	0.0034879367296619	0	0	0	0	0.00239556111443912
FinnGen	0.0208527689949359	0.00461963800611619	0.00342266217838237	0.0057709712352876	0	0.00324739952164085	0	0	0.00238922267778976	0	0	0.00730656619336336	0.00660150550103634	0	0	0.00126396410835155	0.00416731685464901	0.00395373780766416	0	0	0	0	0	0	0	0.00937345332094465	0.00192978802729113	0.00188519466225408	0	0	0.00435413192393696	0	0	0.0034879367296619	0	0	0	0	0	0.00233899248018232
UMS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC-NHL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCML	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UKB	0.000913084265179645	0.00351528776059884	0.00260445568427716	0	0	0.00247109054369302	0.00245196684797376	0	0.00181806566346972	0.00144278716523426	0	0.00555989077012748	0.00502337877093293	0	0	0.000961806434625795	0	0.00300857472068109	0.00267084280918842	0.00424708468070607	0.00192506752095924	0	0	0	0	0	0.00146846143007424	0.00143452835780514	0	0	0	0.000795938515940134	0	0	0	0	0	0	0	0
FinnGen	0.0143219577659864	0.0031728285310123	0.00235072968860564	0.00396357943257238	0	0.00223035697606966	0	0	0.00164094976034845	0	0	0.00501824637587202	0.00453400135975848	0	0	0.000868107280233604	0.0028621683769796	0.00271547946044484	0	0	0	0	0	0	0	0.00643781181370279	0.00132540396102223	0.00129477664764918	0	0	0.0029904754393674	0	0	0.00239556111443912	0.00233899248018232	0	0	0	0	0
